gender,age_range,marital_status,disability,district,father_education,mother_education,household_members,economic_dependency,health_insurance,chronic_disease,academic_program,current_term,enrolled_courses,gpa,failed_course,class_attendance,career_satisfaction,personal_motivation,teacher_motivation,thought_about_dropout,dropout_reason,dropout_thought,transport,commute_time,internet_access,study_space,library_use,academic_tutoring,university_support,housing_type,personal_income,family_income,scholarship,currently_working,work_hours,affects_study,study_hours,university_harassment,demotivation,academic_stress,emotional_support
Masculino,21-25,Soltero(a),No,Lurigancho,Secundaria,Secundaria,1-3,Mayormente dependiente,Privado,No,Ingeniería de Software,2.0,4-5,10-12,No,5.0,2.0,1.0,4.0,No,Reprehenderit reprehenderit dolore sapiente eligendi voluptates nihil laboriosam error voluptatem odit similique.,No,Público,30-60 min,Sí,Sí,3.0,Sí,4.0,Alojado,<500,2000-4000,No,Sí,<10,Sí,,No,No,Sí,Sí
Masculino,16-20,Soltero(a),No,Santa Anita,Primaria,Secundaria,4-5,Totalmente dependiente,Ninguno,No,,4.0,4-5,<10,No,4.0,2.0,4.0,4.0,No,Iure vero veritatis numquam quas ea eligendi animi provident repudiandae impedit.,No,Público,30-60 min,Sí,Sí,5.0,No,1.0,Propia,0,1000-2000,No,No,<10,No,>10,No,No,No,No
Masculino,16-20,Soltero(a),No,Santiago de Surco,Secundaria,Primaria,6+,Minimamente dependiente,SIS,Sí,,1.0,3,13-15,Sí,3.0,4.0,4.0,2.0,No,,No,A pie,>1 h,Sí,Sí,1.0,No,2.0,Propia,<500,2000-4000,No,No,>20,Sí,>10,No,No,Sí,No
Masculino,21-25,Soltero(a),Sí,Lurigancho,Secundaria,Primaria,6+,Minimamente dependiente,Privado,No,Ingeniería de Sistemas,3.0,6 o más,10-12,Sí,3.0,3.0,2.0,3.0,Sí,Mollitia debitis fugiat eos delectus adipisci labore praesentium id exercitationem enim placeat dolore.,Yes,Público,30-60 min,Sí,No,2.0,No,4.0,Alquilada,500-1000,1000-2000,No,No,<10,No,5-10,Sí,No,No,No
Femenino,21-25,Soltero(a),No,Lurín,Primaria,Secundaria,1-3,No dependo económicamente,SIS,No,Ingeniería de Software,10.0,4-5,10-12,Sí,5.0,1.0,4.0,3.0,Sí,Neque ipsum mollitia dolorum sunt fugiat optio necessitatibus culpa.,Yes,Privado,<30 min,Sí,Sí,1.0,Sí,4.0,Alojado,0,<1000,No,Sí,<10,Sí,5-10,No,Sí,Sí,No
Masculino,16-20,Soltero(a),No,San Miguel,Universitario,Universitario,4-5,Totalmente dependiente,SIS,No,Ingeniería de Sistemas,1.0,4-5,<10,Sí,5.0,4.0,3.0,3.0,No,Tempore quos commodi labore architecto autem tempore commodi alias amet voluptate repellat.,No,Público,<30 min,Sí,Sí,2.0,No,3.0,Alquilada,500-1000,1000-2000,No,No,10-20,Sí,<5,No,No,Sí,Sí
Masculino,30+,Soltero(a),No,Chorrillos,Secundaria,Universitario,4-5,Totalmente dependiente,EsSalud,No,,2.0,4-5,<10,No,3.0,3.0,3.0,4.0,Sí,Nihil nisi fugit veniam dolor exercitationem eaque laborum.,Yes,Privado,30-60 min,Sí,Sí,2.0,No,2.0,Residencia,<500,>4000,No,No,>20,Sí,<5,No,No,Sí,Sí
Masculino,16-20,Soltero(a),No,San Juan de Miraflores,Universitario,Secundaria,4-5,Parcialmente dependiente,SIS,No,Ingeniería de Sistemas,1.0,4-5,13-15,Sí,4.0,3.0,4.0,2.0,No,Commodi aut ad odit mollitia harum omnis minima dolorum officia error perspiciatis.,No,Público,30-60 min,Sí,No,2.0,Sí,3.0,Propia,500-1000,<1000,No,No,>20,Sí,<5,Sí,No,No,No
Masculino,26-30,Casado(a),,Lince,,Primaria,1-3,No dependo económicamente,EsSalud,No,Ingeniería de Software,6.0,6 o más,10-12,Sí,4.0,,5.0,4.0,No,Itaque quia hic excepturi debitis explicabo ducimus maxime sapiente voluptate quidem excepturi dolorem.,No,Privado,30-60 min,Sí,Sí,3.0,No,2.0,Alquilada,>1000,1000-2000,No,No,<10,Sí,5-10,No,No,Sí,Sí
Femenino,26-30,Casado(a),No,Villa El Salvador,Primaria,Secundaria,1-3,Parcialmente dependiente,EsSalud,No,Ingeniería de Software,6.0,3,10-12,No,5.0,3.0,4.0,5.0,Sí,Hic voluptatum ducimus similique adipisci repellendus fugit enim beatae quos ad rem.,Yes,Privado,<30 min,Sí,Sí,1.0,Sí,2.0,Propia,<500,<1000,No,No,10-20,Sí,5-10,No,No,No,No
Masculino,16-20,Otro,No,San Isidro,Primaria,Secundaria,4-5,No dependo económicamente,Privado,No,Ingeniería de Sistemas,1.0,6 o más,13-15,No,5.0,4.0,3.0,2.0,No,Corporis unde expedita nulla nostrum nulla.,No,Público,30-60 min,No,Sí,1.0,Sí,4.0,Alquilada,0,<1000,No,No,<10,No,5-10,No,No,No,Sí
Masculino,16-20,Soltero(a),No,Puente Piedra,Universitario,Primaria,6+,Mayormente dependiente,SIS,No,Ingeniería de Software,3.0,4-5,10-12,No,3.0,3.0,3.0,3.0,No,Doloribus eius ullam vero nemo laudantium aut laborum earum possimus ipsum.,No,Público,<30 min,Sí,Sí,3.0,No,3.0,Propia,0,<1000,No,No,<10,Sí,<5,No,No,No,Sí
Femenino,21-25,Soltero(a),,Santa Rosa,Secundaria,Primaria,1-3,Totalmente dependiente,SIS,No,Ingeniería de Sistemas,5.0,4-5,16+,Sí,4.0,2.0,1.0,2.0,No,Exercitationem nihil quae reiciendis sed dolore earum repellat corrupti rerum doloribus non.,No,Público,<30 min,Sí,Sí,3.0,No,2.0,Propia,0,2000-4000,No,No,10-20,Sí,5-10,No,Sí,Sí,Sí
Masculino,26-30,Soltero(a),No,San Juan de Lurigancho,Primaria,Secundaria,6+,Parcialmente dependiente,EsSalud,No,Ingeniería de Sistemas,9.0,6 o más,16+,No,4.0,1.0,3.0,3.0,No,Amet consequuntur expedita voluptatum vitae natus exercitationem qui qui.,No,Público,30-60 min,Sí,Sí,1.0,No,2.0,Alquilada,<500,<1000,No,No,<10,Sí,<5,No,Sí,Sí,Sí
Masculino,21-25,Soltero(a),No,Miraflores,Secundaria,Secundaria,6+,Parcialmente dependiente,EsSalud,No,Ingeniería de Sistemas,3.0,3,13-15,No,4.0,4.0,4.0,2.0,No,Pariatur ducimus provident optio nostrum enim consectetur deserunt praesentium optio.,No,Privado,<30 min,Sí,Sí,1.0,No,4.0,Alquilada,0,2000-4000,No,Sí,<10,Sí,5-10,No,Sí,No,Sí
Femenino,16-20,Soltero(a),No,Cieneguilla,Técnico,Postgrado,6+,Parcialmente dependiente,EsSalud,No,Ingeniería de Software,8.0,6 o más,10-12,No,5.0,4.0,5.0,4.0,No,Quaerat perspiciatis amet doloribus magni minima dolorem quo sint esse.,No,Público,<30 min,Sí,No,,No,1.0,Residencia,<500,>4000,No,No,10-20,No,5-10,No,No,No,Sí
Masculino,26-30,Soltero(a),No,Puente Piedra,Primaria,Secundaria,6+,Parcialmente dependiente,Privado,No,Ingeniería de Sistemas,8.0,3,<10,No,,5.0,3.0,2.0,Sí,Exercitationem consectetur id dignissimos repellendus unde.,Yes,Público,,Sí,Sí,3.0,No,4.0,Propia,0,1000-2000,No,Sí,>20,Sí,5-10,No,No,Sí,Sí
Masculino,21-25,Soltero(a),No,Ate,Primaria,Primaria,4-5,Parcialmente dependiente,Ninguno,No,Ingeniería de Sistemas,2.0,6 o más,13-15,No,3.0,5.0,3.0,2.0,No,Magni libero dolor laudantium optio maxime voluptate illum ipsum.,No,Público,<30 min,Sí,Sí,2.0,No,5.0,Alquilada,500-1000,2000-4000,No,No,<10,No,5-10,No,Sí,Sí,No
Masculino,16-20,Soltero(a),No,San Juan de Miraflores,Técnico,Postgrado,1-3,Minimamente dependiente,EsSalud,No,Ingeniería de Sistemas,6.0,4-5,13-15,Sí,5.0,,2.0,2.0,No,Sequi quo illo magni architecto modi sint.,No,A pie,30-60 min,Sí,Sí,3.0,No,,Alojado,<500,1000-2000,No,No,<10,No,<5,No,No,No,Sí
Masculino,16-20,Divorciado(a),No,Villa María del Triunfo,Secundaria,Técnico,4-5,Mayormente dependiente,SIS,No,Ingeniería de Software,2.0,4-5,13-15,Sí,4.0,2.0,3.0,,,,Yes,Público,<30 min,Sí,Sí,1.0,No,3.0,Residencia,<500,<1000,No,No,<10,No,5-10,No,Sí,No,No
Masculino,21-25,Soltero(a),No,Breña,Técnico,Secundaria,1-3,Mayormente dependiente,SIS,No,Ingeniería de Sistemas,10.0,4-5,13-15,Sí,3.0,3.0,4.0,3.0,No,Saepe est dolorem magnam ipsa praesentium cum.,No,A pie,<30 min,Sí,Sí,3.0,Sí,3.0,Propia,500-1000,2000-4000,Sí,Sí,,No,<5,No,No,No,No
Masculino,16-20,Divorciado(a),No,San Martín de Porres,Universitario,Secundaria,6+,Mayormente dependiente,EsSalud,No,Ingeniería de Software,7.0,3,13-15,Sí,5.0,3.0,3.0,2.0,No,Nam quibusdam dicta qui a iusto laborum porro aut non aliquid.,No,Público,<30 min,Sí,No,4.0,Sí,3.0,Propia,0,<1000,No,No,10-20,Sí,5-10,No,No,Sí,No
,21-25,Soltero(a),No,El Agustino,Secundaria,Secundaria,6+,Parcialmente dependiente,SIS,No,Ingeniería de Sistemas,3.0,6 o más,10-12,No,5.0,2.0,4.0,3.0,No,Dolore harum perferendis voluptas eius velit.,No,Público,<30 min,Sí,Sí,2.0,Sí,4.0,Propia,500-1000,<1000,Sí,No,>20,Sí,<5,No,Sí,Sí,No
Femenino,21-25,Casado(a),No,Lince,Primaria,Primaria,1-3,Parcialmente dependiente,EsSalud,Sí,,10.0,3,13-15,No,3.0,1.0,2.0,5.0,Sí,Blanditiis aspernatur omnis quas eaque quam tempora expedita.,Yes,Público,30-60 min,Sí,Sí,1.0,Sí,4.0,Alojado,0,<1000,,No,<10,Sí,5-10,No,No,No,No
Femenino,21-25,Casado(a),No,San Bartolo,Primaria,Primaria,1-3,Minimamente dependiente,Privado,No,Ingeniería de Sistemas,2.0,4-5,<10,Sí,4.0,3.0,3.0,4.0,No,Vitae dolore maiores architecto consequatur natus cupiditate explicabo sequi a nobis nobis.,No,Público,>1 h,Sí,Sí,3.0,Sí,4.0,Propia,0,>4000,No,No,<10,Sí,>10,No,Sí,No,Sí
Masculino,16-20,Otro,No,Chaclacayo,Primaria,Secundaria,1-3,Mayormente dependiente,Ninguno,No,Ingeniería de Sistemas,3.0,4-5,10-12,No,5.0,1.0,3.0,3.0,No,Consectetur velit deserunt omnis quod suscipit officiis illum sapiente.,No,Privado,<30 min,Sí,Sí,1.0,Sí,4.0,Alquilada,500-1000,>4000,No,No,<10,Sí,<5,No,Sí,No,Sí
Masculino,21-25,Soltero(a),No,Jesús María,Secundaria,Secundaria,1-3,No dependo económicamente,EsSalud,No,Ingeniería de Sistemas,4.0,6 o más,13-15,No,4.0,,2.0,3.0,No,Beatae dolorem expedita placeat ipsum suscipit ea impedit dolores pariatur cupiditate nobis culpa eius.,No,A pie,30-60 min,Sí,Sí,4.0,Sí,4.0,Alojado,500-1000,<1000,No,,<10,,5-10,No,Sí,No,Sí
Masculino,26-30,Soltero(a),No,Punta Negra,Técnico,Primaria,1-3,No dependo económicamente,EsSalud,No,Ingeniería de Sistemas,5.0,4-5,16+,Sí,4.0,4.0,3.0,5.0,No,Quis quae consectetur vel laborum delectus nisi ut quia cum debitis corporis.,No,Privado,<30 min,No,Sí,4.0,No,3.0,Alquilada,0,<1000,No,No,,Sí,<5,No,Sí,No,No
Masculino,16-20,Soltero(a),No,Santa Rosa,Primaria,Secundaria,4-5,Mayormente dependiente,EsSalud,No,Ingeniería de Sistemas,8.0,4-5,13-15,No,4.0,1.0,3.0,3.0,No,Nisi ipsum ipsam in autem repellat asperiores facilis et provident vitae non deleniti.,No,Público,<30 min,Sí,No,4.0,,3.0,Alquilada,<500,2000-4000,No,No,<10,No,<5,Sí,No,No,Sí
Masculino,26-30,Soltero(a),No,Punta Hermosa,Secundaria,Secundaria,1-3,Mayormente dependiente,EsSalud,Sí,Ingeniería de Software,6.0,4-5,10-12,No,3.0,4.0,4.0,2.0,No,Iusto ab in laudantium repellat tempore voluptate labore corrupti velit.,No,Público,>1 h,Sí,No,3.0,No,4.0,Propia,0,1000-2000,No,No,10-20,Sí,<5,No,No,Sí,Sí
Masculino,16-20,Soltero(a),No,Jesús María,Técnico,Universitario,4-5,Minimamente dependiente,EsSalud,No,,9.0,4-5,10-12,No,4.0,3.0,4.0,5.0,Sí,Ex unde error dolores commodi asperiores distinctio at sint qui.,Yes,Público,<30 min,Sí,No,4.0,No,2.0,Alquilada,0,<1000,No,Sí,10-20,Sí,>10,No,No,No,No
Masculino,26-30,Soltero(a),No,Pueblo Libre,Primaria,Secundaria,4-5,Parcialmente dependiente,SIS,No,Ingeniería de Software,8.0,4-5,<10,No,5.0,2.0,3.0,2.0,No,Dicta nihil vel consequuntur error ipsum repellat quos magnam.,No,Público,<30 min,Sí,No,3.0,Sí,3.0,Alojado,>1000,1000-2000,,Sí,<10,Sí,<5,No,No,Sí,No
Masculino,26-30,Casado(a),No,Puente Piedra,Técnico,Primaria,1-3,Minimamente dependiente,,No,Ingeniería de Software,3.0,4-5,10-12,No,4.0,3.0,4.0,3.0,No,Nesciunt aliquam quo porro vero facilis corrupti praesentium neque perferendis deserunt qui.,No,Público,>1 h,Sí,,4.0,Sí,2.0,,500-1000,>4000,Sí,Sí,<10,Sí,<5,No,Sí,Sí,No
Masculino,16-20,Soltero(a),No,Lima Cercado,Secundaria,Secundaria,1-3,Totalmente dependiente,EsSalud,No,Ingeniería de Software,1.0,6 o más,13-15,Sí,1.0,1.0,3.0,2.0,No,Eos sint dolores deleniti velit autem atque aperiam sint ducimus.,No,Público,30-60 min,Sí,Sí,5.0,No,3.0,Propia,0,1000-2000,No,No,<10,Sí,5-10,No,Sí,No,Sí
Masculino,30+,,No,Punta Hermosa,Primaria,Secundaria,1-3,Parcialmente dependiente,SIS,No,Ingeniería de Software,10.0,6 o más,13-15,Sí,5.0,1.0,2.0,1.0,Sí,In temporibus sunt sit sed minus veniam ratione ipsum id nulla incidunt.,Yes,A pie,30-60 min,Sí,Sí,4.0,No,5.0,Alojado,>1000,2000-4000,No,No,>20,Sí,<5,No,No,No,Sí
,21-25,Soltero(a),No,,Técnico,Secundaria,1-3,Totalmente dependiente,EsSalud,No,Ingeniería de Sistemas,2.0,4-5,<10,No,4.0,3.0,5.0,4.0,No,Sit recusandae officia expedita fuga mollitia ipsam.,,Público,>1 h,Sí,Sí,3.0,Sí,2.0,Propia,0,2000-4000,No,No,<10,Sí,<5,No,Sí,No,No
Masculino,26-30,Soltero(a),No,Villa María del Triunfo,Secundaria,Técnico,6+,Parcialmente dependiente,SIS,No,Ingeniería de Sistemas,1.0,4-5,13-15,No,2.0,1.0,3.0,4.0,No,Suscipit quisquam molestias totam quidem consequatur aliquam esse incidunt cupiditate.,No,Público,30-60 min,Sí,Sí,4.0,No,3.0,Alojado,<500,2000-4000,No,No,<10,Sí,<5,No,No,,Sí
Masculino,16-20,Soltero(a),No,Punta Negra,Postgrado,Secundaria,1-3,Parcialmente dependiente,Ninguno,No,Ingeniería de Software,10.0,4-5,<10,No,3.0,5.0,1.0,2.0,No,Dolor tempora tenetur architecto suscipit porro nobis sunt est odio praesentium.,No,Público,<30 min,Sí,Sí,4.0,Sí,2.0,Alquilada,0,2000-4000,No,Sí,<10,Sí,<5,No,No,Sí,Sí
Masculino,30+,Soltero(a),No,San Juan de Miraflores,,Secundaria,4-5,Minimamente dependiente,EsSalud,No,Ingeniería de Software,9.0,3,10-12,No,1.0,2.0,5.0,3.0,No,Ipsam tenetur reiciendis quo debitis pariatur similique necessitatibus omnis ipsum.,No,,30-60 min,Sí,Sí,3.0,Sí,4.0,Alojado,0,2000-4000,Sí,No,10-20,No,<5,No,No,Sí,Sí
Masculino,21-25,Soltero(a),No,Santa Rosa,Técnico,Secundaria,6+,Mayormente dependiente,SIS,No,Ingeniería de Sistemas,10.0,6 o más,13-15,No,,2.0,3.0,1.0,No,Ipsum commodi maxime fugit qui iure perspiciatis repellat in.,No,Público,>1 h,Sí,No,2.0,No,2.0,Propia,500-1000,2000-4000,No,Sí,>20,Sí,5-10,No,Sí,No,Sí
Masculino,21-25,Casado(a),No,Santa Anita,Primaria,Primaria,1-3,Totalmente dependiente,SIS,No,Ingeniería de Software,2.0,6 o más,13-15,No,1.0,2.0,,3.0,No,Placeat exercitationem asperiores quisquam doloribus eum iste expedita tempora neque excepturi temporibus.,No,Público,30-60 min,Sí,Sí,2.0,No,3.0,Alquilada,,<1000,No,Sí,<10,No,<5,No,Sí,Sí,Sí
Femenino,,Soltero(a),No,Chorrillos,Secundaria,Técnico,1-3,Parcialmente dependiente,EsSalud,No,Ingeniería de Software,4.0,3,13-15,No,5.0,5.0,3.0,3.0,No,Nemo eveniet consectetur blanditiis temporibus illum.,No,Público,<30 min,Sí,Sí,3.0,No,,Alquilada,0,<1000,Sí,No,10-20,No,5-10,No,No,No,No
Masculino,16-20,Soltero(a),,Ate,Universitario,Primaria,1-3,Mayormente dependiente,SIS,,Ingeniería de Software,1.0,4-5,16+,No,4.0,1.0,4.0,1.0,No,Nihil iste iusto dignissimos dolores incidunt.,No,Privado,<30 min,No,Sí,3.0,No,3.0,Alojado,<500,1000-2000,No,No,10-20,Sí,<5,No,No,No,No
Masculino,21-25,Soltero(a),No,Villa El Salvador,Primaria,Universitario,1-3,Minimamente dependiente,EsSalud,No,Ingeniería de Software,3.0,4-5,<10,Sí,5.0,4.0,3.0,2.0,No,Praesentium voluptatum maiores quis officiis voluptatum provident quidem et itaque similique ad ratione.,No,Público,<30 min,Sí,Sí,1.0,No,4.0,Alojado,0,<1000,No,Sí,<10,Sí,<5,No,No,No,No
Masculino,16-20,Soltero(a),No,Pucusana,Primaria,Universitario,6+,Mayormente dependiente,EsSalud,Sí,Ingeniería de Sistemas,7.0,4-5,10-12,Sí,5.0,3.0,2.0,4.0,No,Itaque voluptates commodi mollitia odit temporibus ducimus libero sunt reprehenderit dicta.,No,Público,<30 min,Sí,Sí,1.0,No,4.0,Alquilada,0,2000-4000,No,No,10-20,No,5-10,No,Sí,No,Sí
Femenino,16-20,Casado(a),No,San Bartolo,Primaria,Primaria,4-5,Mayormente dependiente,EsSalud,,Ingeniería de Software,5.0,4-5,13-15,No,,4.0,5.0,2.0,No,Autem eligendi dolorem alias similique et veniam.,No,Privado,>1 h,Sí,No,3.0,No,1.0,Residencia,0,,No,No,<10,Sí,<5,No,No,Sí,No
Masculino,16-20,Soltero(a),No,La Victoria,Secundaria,Primaria,4-5,Totalmente dependiente,EsSalud,No,Ingeniería de Sistemas,3.0,4-5,10-12,No,4.0,3.0,4.0,3.0,No,Sequi quasi officiis sunt optio veritatis sint.,No,Público,,Sí,Sí,2.0,,3.0,Residencia,0,<1000,No,Sí,<10,Sí,5-10,Sí,Sí,Sí,Sí
Femenino,21-25,Soltero(a),No,Lurigancho,Primaria,Primaria,4-5,Parcialmente dependiente,,No,Ingeniería de Software,6.0,4-5,<10,Sí,3.0,2.0,4.0,4.0,No,Ipsam unde quas voluptates nulla quod ipsa vitae sequi asperiores.,No,Privado,30-60 min,Sí,No,3.0,No,2.0,Propia,0,1000-2000,No,No,<10,No,5-10,No,Sí,No,No
Masculino,26-30,Soltero(a),No,,Primaria,Secundaria,6+,Mayormente dependiente,,No,Ingeniería de Software,10.0,4-5,16+,No,3.0,2.0,4.0,1.0,No,Nostrum occaecati saepe dolores minima nesciunt odio totam fugiat.,No,A pie,<30 min,Sí,Sí,1.0,No,3.0,Alquilada,500-1000,1000-2000,No,No,<10,Sí,5-10,Sí,No,No,Sí
Masculino,21-25,Soltero(a),No,Independencia,Técnico,Primaria,6+,Mayormente dependiente,Privado,No,Ingeniería de Software,5.0,3,16+,Sí,4.0,3.0,2.0,4.0,No,Dolore odit fuga veritatis veritatis error optio debitis earum unde optio.,No,A pie,<30 min,,Sí,4.0,No,3.0,Alojado,,<1000,No,No,,Sí,<5,No,Sí,No,Sí
Masculino,16-20,Soltero(a),No,Pucusana,Secundaria,Universitario,4-5,Minimamente dependiente,Privado,No,Ingeniería de Sistemas,2.0,4-5,13-15,No,4.0,4.0,5.0,5.0,No,,No,Público,<30 min,Sí,Sí,2.0,Sí,5.0,Residencia,0,,No,No,<10,Sí,>10,No,No,No,No
Femenino,26-30,Casado(a),No,Santa María del Mar,,Secundaria,1-3,Totalmente dependiente,SIS,No,Ingeniería de Software,6.0,4-5,10-12,Sí,5.0,5.0,4.0,3.0,No,Culpa corrupti accusantium perferendis excepturi suscipit laudantium repellendus cupiditate unde nostrum assumenda.,No,A pie,<30 min,Sí,Sí,2.0,Sí,3.0,Alojado,<500,2000-4000,No,No,>20,Sí,<5,No,Sí,Sí,No
Femenino,16-20,Soltero(a),No,Lurigancho,Universitario,Primaria,1-3,No dependo económicamente,SIS,No,Ingeniería de Software,6.0,4-5,10-12,No,4.0,5.0,4.0,2.0,No,Illum voluptates suscipit ad dolorem quia necessitatibus repellendus sunt enim.,,Público,>1 h,Sí,No,3.0,Sí,5.0,Residencia,0,>4000,Sí,No,<10,No,5-10,No,No,No,No
Masculino,16-20,Otro,No,Santa María del Mar,,Secundaria,4-5,Minimamente dependiente,EsSalud,No,Ingeniería de Sistemas,8.0,4-5,16+,No,4.0,4.0,4.0,4.0,Sí,Assumenda quidem provident debitis odio maxime animi officiis.,Yes,Público,<30 min,Sí,Sí,3.0,No,4.0,Residencia,0,<1000,No,No,>20,Sí,5-10,No,No,No,Sí
Masculino,21-25,Soltero(a),No,Comas,Primaria,Universitario,,Totalmente dependiente,EsSalud,No,Ingeniería de Software,6.0,6 o más,<10,No,4.0,4.0,5.0,3.0,Sí,Atque ut dolores eius voluptatem ut at accusamus dolores.,Yes,Privado,30-60 min,Sí,Sí,1.0,Sí,4.0,Propia,0,2000-4000,No,Sí,10-20,No,>10,,No,No,Sí
Masculino,16-20,Casado(a),No,El Agustino,Secundaria,Primaria,1-3,Mayormente dependiente,EsSalud,No,Ingeniería de Sistemas,4.0,3,13-15,Sí,3.0,3.0,,3.0,No,Placeat enim quos est minus nihil cupiditate sint voluptatem provident nostrum voluptate.,No,Público,30-60 min,Sí,Sí,2.0,No,3.0,Alquilada,500-1000,,No,Sí,>20,Sí,5-10,No,No,No,Sí
Masculino,21-25,Soltero(a),No,Miraflores,Secundaria,Secundaria,1-3,Totalmente dependiente,Privado,No,Ingeniería de Software,5.0,4-5,10-12,Sí,3.0,3.0,1.0,2.0,No,Expedita atque sint doloremque voluptates laborum.,No,Público,>1 h,Sí,Sí,3.0,Sí,5.0,Alojado,500-1000,1000-2000,No,No,>20,Sí,>10,No,Sí,No,Sí
Masculino,26-30,Soltero(a),No,Puente Piedra,Primaria,Secundaria,1-3,Mayormente dependiente,EsSalud,No,Ingeniería de Software,2.0,4-5,13-15,No,4.0,4.0,3.0,2.0,No,Quidem maiores voluptates omnis voluptates reprehenderit.,No,Público,<30 min,Sí,Sí,4.0,Sí,3.0,Propia,500-1000,2000-4000,No,No,<10,No,<5,Sí,No,Sí,No
Masculino,21-25,Soltero(a),No,Rímac,,Universitario,1-3,Parcialmente dependiente,Privado,No,Ingeniería de Software,6.0,4-5,10-12,No,4.0,3.0,3.0,4.0,No,Mollitia exercitationem libero saepe suscipit voluptatum et atque ex dignissimos.,No,Privado,30-60 min,Sí,No,1.0,Sí,5.0,Propia,0,<1000,Sí,No,10-20,Sí,<5,No,Sí,Sí,Sí
Masculino,16-20,Soltero(a),No,Lurigancho,Secundaria,Secundaria,1-3,Mayormente dependiente,SIS,No,Ingeniería de Sistemas,6.0,4-5,13-15,No,5.0,4.0,4.0,3.0,No,Sunt veniam similique asperiores deserunt consequatur quia nihil ratione in nulla labore.,No,Privado,<30 min,Sí,Sí,4.0,No,5.0,Propia,500-1000,1000-2000,No,No,<10,No,5-10,No,No,Sí,Sí
Masculino,21-25,Soltero(a),No,Punta Hermosa,Secundaria,Secundaria,1-3,Totalmente dependiente,EsSalud,No,Ingeniería de Software,7.0,,<10,Sí,3.0,5.0,3.0,4.0,No,Cupiditate consequatur sint a reiciendis ut corrupti pariatur in culpa tempore quaerat aliquam.,No,Privado,,Sí,Sí,2.0,No,4.0,Residencia,>1000,2000-4000,No,No,<10,Sí,>10,No,Sí,No,No
Masculino,21-25,Soltero(a),No,San Miguel,Secundaria,Primaria,4-5,Totalmente dependiente,Privado,No,Ingeniería de Sistemas,8.0,4-5,<10,No,4.0,3.0,3.0,4.0,Sí,Recusandae soluta explicabo molestiae tempore labore doloribus dignissimos adipisci dolorem ad.,Yes,Público,30-60 min,Sí,Sí,2.0,No,3.0,Propia,0,1000-2000,No,No,10-20,Sí,5-10,Sí,No,No,Sí
Masculino,21-25,Soltero(a),No,Punta Negra,Primaria,Secundaria,1-3,Totalmente dependiente,Privado,No,Ingeniería de Sistemas,3.0,3,10-12,Sí,3.0,5.0,5.0,3.0,Sí,Soluta vel veritatis fugiat aperiam earum expedita nemo necessitatibus beatae eaque sit.,Yes,A pie,<30 min,Sí,Sí,4.0,Sí,3.0,Alojado,0,<1000,No,No,10-20,Sí,<5,No,Sí,Sí,Sí
Masculino,26-30,Soltero(a),No,El Agustino,Secundaria,Primaria,1-3,No dependo económicamente,EsSalud,No,Ingeniería de Software,5.0,4-5,10-12,No,1.0,5.0,3.0,5.0,Sí,Excepturi molestiae molestiae inventore a beatae dignissimos consectetur illum.,Yes,Público,>1 h,Sí,Sí,4.0,No,3.0,Alquilada,0,>4000,No,Sí,10-20,Sí,<5,No,Sí,No,Sí
Masculino,21-25,Otro,No,La Victoria,Primaria,Técnico,1-3,No dependo económicamente,SIS,No,Ingeniería de Software,2.0,4-5,13-15,No,5.0,2.0,1.0,2.0,No,Distinctio enim odit doloremque officiis cum aliquid quaerat optio modi nisi.,No,Público,>1 h,Sí,Sí,2.0,No,3.0,Alquilada,500-1000,1000-2000,No,Sí,10-20,Sí,5-10,No,Sí,No,Sí
Masculino,16-20,Soltero(a),No,Cieneguilla,Primaria,Secundaria,1-3,Totalmente dependiente,EsSalud,No,Ingeniería de Software,1.0,6 o más,<10,No,,3.0,5.0,1.0,No,Natus officiis alias optio error unde.,No,Público,30-60 min,Sí,Sí,3.0,No,3.0,Alquilada,0,<1000,No,Sí,>20,Sí,<5,No,No,Sí,No
Masculino,16-20,Soltero(a),No,Santa María del Mar,Primaria,Secundaria,6+,Mayormente dependiente,SIS,No,Ingeniería de Sistemas,8.0,3,16+,Sí,3.0,4.0,3.0,3.0,No,Iure porro nam aliquam sunt et sit delectus quidem.,No,Privado,<30 min,Sí,Sí,2.0,No,5.0,Alojado,500-1000,1000-2000,No,Sí,>20,Sí,<5,No,Sí,Sí,No
Masculino,16-20,Soltero(a),No,Villa María del Triunfo,Primaria,Técnico,4-5,Parcialmente dependiente,Privado,No,Ingeniería de Software,10.0,3,10-12,No,2.0,4.0,3.0,2.0,No,Iusto tempora quia nisi voluptatem doloremque ex numquam repudiandae quam labore necessitatibus consectetur ipsum.,No,Público,>1 h,Sí,Sí,1.0,No,3.0,,0,2000-4000,,Sí,<10,Sí,5-10,No,No,,No
Masculino,16-20,Soltero(a),No,Lurín,Secundaria,Primaria,1-3,Parcialmente dependiente,Ninguno,,Ingeniería de Sistemas,1.0,3,13-15,No,4.0,3.0,4.0,4.0,Sí,Autem similique voluptas praesentium rerum sint reprehenderit in illum neque blanditiis corporis tempore.,Yes,Público,<30 min,Sí,Sí,3.0,Sí,4.0,Alquilada,0,2000-4000,No,No,<10,No,5-10,No,Sí,Sí,No
